Reference, Quantity, Value, Footprint, Datasheet, Description, Manufacturer, Part Number, Price[1k], Supplier Link, Label, Alternatives
C312 C221 C220 C208 C210 C216 C818 C918 ,8,100nF,LoRa_PCIe_GW:ccer_402_smd_small,,"Multilayer ceramic capacitors X7R ±10%, 16V",Murata,GMD155R71C104KA11,0.01,https://www.digikey.com/en/products/detail/murata-electronics/GMD155R71C104KA11D/10696609,,
C601 C802 ,2,47pF,LoRa_PCIe_GW:ccer_201_smd_small,,"47pF ±5% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GRM0335C1H470JA01D,0.0036,https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H470JA01D/2542245,,
C801 ,1,47nF,LoRa_PCIe_GW:ccer_402_smd_small,,0.047µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric),Murata,GRM155R71C473KA01J,0.012,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R71C473KA01J/2610901,,
C806 ,1,39pF,LoRa_PCIe_GW:ccer_201_smd_small,,"39pF ±1% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GRM0335C1H390FA01D,0.0057,https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H390FA01D/11618461,,
C807 ,1,2.7pF,LoRa_PCIe_GW:ccer_201_smd_small,,"2.7 pF �0.1pF 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GJM0335C1H2R7BB01D,0.008,https://www.digikey.com/en/products/detail/murata-electronics/GJM0335C1H2R7BB01D/9758987,,
C805 C808 C908 C828 ,4,10pF,LoRa_PCIe_GW:ccer_201_smd_small,,"10pF ±1% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GRM0335C1H100FA01,0.005,https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H100FA01J/4358681,,
C811 C812 C911 C912 ,4,3.6pF,LoRa_PCIe_GW:ccer_201_smd_small,,"3.6pF ±0.05pF 25V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GJM0335C1E3R6WB01J,0.022,https://www.digikey.com/en/products/detail/murata-electronics/gjm0335c1e3r6wb01j/2592609,,
C817 C917 ,2,470nF,LoRa_PCIe_GW:ccer_402_smd_small,,0.47µF ±10% 10V Ceramic Capacitor X5R 0402 (1005 Metric),Murata,GRM155R61A474KE15D,0.024,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R61A474KE15D/702528,,
C823 ,1,10nF,LoRa_PCIe_GW:ccer_402_smd_small,,10000pF ±10% 10V Ceramic Capacitor X5R 0402 (1005 Metric),Murata,GRM155R61A103KA01D,0.007,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R61A103KA01D/2610840,,
C824 ,1,1nF,LoRa_PCIe_GW:ccer_402_smd_small,,1000pF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric),Murata,GRM155R71C102KA01D,0.007,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R71C102KA01D/2610889,,
C826,1,120pF,LoRa_PCIe_GW:ccer_402_smd_small,,"120 pF �5% 100V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",KEMET,C0402C121J1GAC7867,0.016,https://www.digikey.com/en/products/detail/kemet/C0402C121J1GAC7867/7381995,,
C825,1,33pF,LoRa_PCIe_GW:ccer_402_smd_small,,"33 pF �2% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",Murata,GJM1555C1H330GB01D,0.026,https://www.digikey.com/en/products/detail/murata-electronics/GJM1555C1H330GB01D/11618541,,
C832,1,1.8pF,LoRa_PCIe_GW:ccer_201_smd_small,,"1.8 pF �0.05pF 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GRM0335C1H1R8WA01D,0.005,https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H1R8WA01D/11618610,,
C829 ,1,2.4pF,LoRa_PCIe_GW:ccer_201_smd_small,,"2.4 pF �0.1pF 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GRM0335C1H2R4BA01D,0.02,https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H2R4BA01D/4358715,,
C830 ,1,2.1pF,LoRa_PCIe_GW:ccer_201_smd_small,,"2.1 pF �0.1pF 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GJM0335C1H2R1BB01D,0.026,https://www.digikey.com/en/products/detail/murata-electronics/GJM0335C1H2R1BB01D/9758981,,
C834 C819 C815 C820 C821 C809 ,6,56pF,LoRa_PCIe_GW:ccer_201_smd_small,,"56pF ±1% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GRM0335C1H560FA01D,0.0057,https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H560FA01D/11618638,,
